results: Entity,Day,Count,Momentum,Positive,Negative
33312449,2009-04-04,115,0.3524,0.0699115,0.0111801
33312449,2009-04-05,136,0.41746,0.092084,0.0
33312449,2009-04-06,127,0.376828,0.0730658,0.00685913
33312449,2009-04-07,58,0.356845,0.0349357,0.0187219
33312449,2009-04-08,258,0.465822,0.102278,0.0197662
33312449,2009-04-09,497,0.526784,0.0707918,0.0241303
33312449,2009-04-10,546,0.692847,0.0489602,0.0353088
33312449,2009-04-11,194,0.615706,0.0425624,0.0145277
33312449,2009-04-12,63,0.440233,0.0672408,0.012987
33312449,2009-04-13,413,0.468854,0.0709116,0.0139987
33312449,2009-04-14,663,0.492119,0.0600625,0.0254688
33312449,2009-04-15,473,0.50698,0.0624013,0.00463914
33312449,2009-04-16,466,0.59274,0.0324168,0.00526087
33312449,2009-04-17,371,0.417192,0.0789527,0.0186537
33312449,2009-04-18,121,0.435704,0.0857109,0.00398192
33312449,2009-04-19,50,0.330441,0.0616148,0.00923077
33312449,2009-04-20,461,0.393909,0.0672473,0.0175762
33312449,2009-04-21,477,0.51715,0.0706682,0.0164618
33312449,2009-04-22,198,0.392216,0.0553689,0.0199619
33312449,2009-04-23,373,0.443694,0.0718949,0.167442
33312449,2009-04-24,512,0.516231,0.0639083,0.136772
33312449,2009-04-25,196,0.485773,0.0766994,0.047452
33312449,2009-04-26,64,0.378262,0.042474,0.0210561
33312449,2009-04-27,338,0.406126,0.0488661,0.0123504
33312449,2009-04-28,557,0.522237,0.0429763,0.0141291
33312449,2009-04-29,503,0.532216,0.0589355,0.00518964
33312449,2009-04-30,507,0.489098,0.0730256,0.00985489
33312449,2009-05-01,355,0.391658,0.0619977,0.0083183
33312449,2009-05-02,57,0.319081,0.03933,0.00426742
33312449,2009-05-03,40,0.266885,0.130832,0.0
33312449,2009-05-04,259,0.354027,0.0621876,0.023445
33312449,2009-05-05,497,0.508564,0.0607445,0.0632087
33312449,2009-05-06,387,0.375317,0.0450136,0.062358
33312449,2009-05-07,520,0.480444,0.0871217,0.0176002
33312449,2009-05-08,392,0.501674,0.0719102,0.00602746
33312449,2009-05-09,81,0.509609,0.0340702,0.0136852
33312449,2009-05-10,56,0.41387,0.121136,0.0648275
33312449,2009-05-11,648,0.710222,0.0705559,0.0614179
33312449,2009-05-12,648,0.659988,0.0539399,0.0474446
33312449,2009-05-13,467,0.511359,0.0632589,0.0343198
33312449,2009-05-14,246,0.346419,0.0330174,0.013059
33312449,2009-05-15,247,0.329574,0.0490592,0.0181963
33312449,2009-05-16,71,0.329364,0.0633038,0.014913
33312449,2009-05-17,63,0.371724,0.0968674,0.0
33312449,2009-05-18,397,0.388583,0.0963739,0.0229006
33312449,2009-05-19,522,0.569316,0.0724964,0.0176511
33312449,2009-05-20,437,0.544821,0.0502962,0.00583115
33312449,2009-05-21,385,0.502237,0.0822201,0.0115399
33312449,2009-05-22,219,0.409902,0.0790204,0.0179045
33312449,2009-05-23,77,0.361636,0.0823803,0.0267262
33312449,2009-05-24,72,0.425748,0.0616612,0.038263
33312449,2009-05-25,102,0.369859,0.0697315,0.0157938
33312449,2009-05-26,446,0.495578,0.066573,0.0175189
33312449,2009-05-27,660,0.56942,0.0577487,0.0105544
33312449,2009-05-28,830,0.622162,0.0713015,0.0181862
33312449,2009-05-29,567,0.620784,0.0502866,0.00849101
33312449,2009-05-30,135,0.527235,0.0478111,0.00215054
33312449,2009-05-31,61,0.363903,0.0683141,0.0
33312449,2009-06-01,681,0.483637,0.0467567,0.0107828
33312449,2009-06-02,750,0.52672,0.0525785,0.00892414
33312449,2009-06-03,850,0.698661,0.050518,0.0130579
33312449,2009-06-04,590,0.606418,0.0647241,0.0129169
33312449,2009-06-05,525,0.612127,0.0522786,0.0220819
33312449,2009-06-06,78,0.418425,0.0565733,0.0150843
33312449,2009-06-07,81,0.395715,0.0644107,0.0201828
33312449,2009-06-08,350,0.407029,0.068173,0.0148971
33312449,2009-06-09,681,0.498279,0.0846544,0.0114236
33312449,2009-06-10,563,0.491108,0.0771758,0.0265117
33312449,2009-06-11,927,0.696479,0.0479545,0.0150263
33312449,2009-06-12,729,0.663132,0.0433475,0.0132847
33312449,2009-06-13,107,0.705551,0.0546123,0.00184862
33312449,2009-06-14,66,0.419177,0.0381433,0.0351862
33312449,2009-06-15,247,0.41199,0.0629922,0.00574422
33312449,2009-06-16,507,0.443896,0.0543469,0.0132861
33312449,2009-06-17,579,0.515218,0.117443,0.0227296
33312449,2009-06-18,819,0.645243,0.069751,0.0158971
33312449,2009-06-19,449,0.578806,0.0610844,0.0113646
33312449,2009-06-20,82,0.484789,0.0328653,0.00406504
33312449,2009-06-21,42,0.303011,0.0441701,0.0308267
33312449,2009-06-22,407,0.403807,0.0589527,0.0168398
33312449,2009-06-23,456,0.300415,0.056218,0.00640983
33312449,2009-06-24,894,0.420284,0.0723505,0.00989642
33312449,2009-06-25,1263,0.438992,0.0449345,0.0156642
33312449,2009-06-26,422,0.361452,0.0542848,0.0119712
33312449,2009-06-27,44,0.285301,0.153571,0.00653133
33312449,2009-06-28,44,0.26404,0.196173,0.0120321
33312449,2009-06-29,630,0.357515,0.0496992,0.016462
